first_name,last_name,position,position_alt,injury_status,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Terance,Mann,PG,SG,,2024-01-03,,LAC,PHO,-4,232,118,3800,23,4.8,13.1,19.8,14.4,3.79
Precious,Achiuwa,PF,C,,2024-01-03,,NY,CHI,-9,220.5,114.8,3600,23,2.5,9.3,16.5,14.4,4.00
Tristan,Thompson,C,,,2024-01-03,,CLE,WAS,-9.5,239.5,124.5,3200,30,2.3,10.5,19.3,14.3,4.47
Cameron,Payne,PG,,,2024-01-03,,MIL,IND,-3.5,257,130.3,3400,6,-1.5,12.7,38.5,14.0,4.12
Toumani,Camara,SF,PF,Q,2024-01-03,,POR,DAL,+11.5,238.5,113.5,4800,28,8.8,15.2,36.3,13.8,2.88
Isaiah,Joe,SG,SF,,2024-01-03,,OKC,ATL,-1,248,124.5,4000,10,8.3,11.4,14.5,13.8,3.44
Nickeil,Alexander-Walker,SG,SF,,2024-01-03,,MIN,NO,-6.5,222.5,114.5,3500,9,2.0,11.4,18.0,13.6,3.89
Ausar,Thompson,SF,PF,,2024-01-03,,DET,UTA,+8.5,240,115.8,4100,2,7.3,11.9,18.8,13.5,3.29
Aaron,Holiday,PG,,,2024-01-03,,HOU,BKN,-5,220.5,112.8,3700,14,9.8,15.1,23.3,13.2,3.57
Jose,Alvarado,PG,,,2024-01-03,,NO,MIN,+6.5,222.5,108,3900,3,7.0,16.6,25.8,13.0,3.33
Quentin,Grimes,SG,SF,,2024-01-03,,NY,CHI,-9,220.5,114.8,3100,25,6.3,9.9,16.3,13.0,4.19
Bol,Bol,PF,C,,2024-01-03,,PHO,LAC,+4,232,114,3500,5,2.0,7.0,23.3,12.7,3.63
Cason,Wallace,PG,SG,,2024-01-03,,OKC,ATL,-1,248,124.5,3800,27,6.8,12.6,18.3,12.7,3.34
Dwight,Powell,C,,,2024-01-03,,DAL,POR,-11.5,238.5,125,3500,24,2.5,15.4,45.5,12.5,3.57
Kenrich,Williams,PF,C,,2024-01-03,,OKC,ATL,-1,248,124.5,3700,29,10.0,11.2,15.8,12.5,3.38
Chris,Boucher,PF,C,,2024-01-03,,TOR,MEM,+1,227.5,113.3,3700,7,1.3,8.8,16.8,12.3,3.32
Daniel,Theis,C,,,2024-01-03,,LAC,PHO,-4,232,118,3500,4,6.3,11.8,20.8,12.2,3.49
Moses,Brown,C,,Q,2024-01-03,,POR,DAL,+11.5,238.5,113.5,4000,8,1.3,9.7,17.3,11.9,2.98
Naji,Marshall,PF,,,2024-01-03,,NO,MIN,+6.5,222.5,108,4300,9,4.3,12.0,16.8,11.8,2.73
James,Wiseman,C,,,2024-01-03,,DET,UTA,+8.5,240,115.8,3800,19,2.0,10.8,19.0,11.8,3.11
Jevon,Carter,PG,SG,,2024-01-03,,CHI,NY,+9,220.5,105.8,3500,15,5.0,11.6,21.3,11.5,3.29
Matisse,Thybulle,SG,SF,,2024-01-03,,POR,DAL,+11.5,238.5,113.5,4500,27,12.5,16.4,25.5,11.5,2.56
Ochai,Agbaji,SG,SF,,2024-01-03,,UTA,DET,-8.5,240,124.3,3300,24,2.0,8.7,17.5,11.5,3.48
David,Roddy,PF,,,2024-01-03,,MEM,TOR,-1,227.5,114.3,3600,2,0.0,8.9,18.5,11.2,3.11
Landry,Shamet,SG,,,2024-01-03,,WAS,CLE,+9.5,239.5,115,3600,8,0.0,7.9,15.5,10.4,2.89
Danilo,Gallinari,PF,C,Q,2024-01-03,,WAS,CLE,+9.5,239.5,115,4300,13,1.3,8.8,14.3,10.3,2.40
Dalen,Terry,PF,,,2024-01-03,,CHI,NY,+9,220.5,105.8,3300,19,-0.5,11.4,27.0,10.0,3.03
Aaron,Wiggins,PF,,,2024-01-03,,OKC,ATL,-1,248,124.5,3500,29,5.3,9.8,13.3,9.9,2.83
Killian,Hayes,PG,,,2024-01-03,,DET,UTA,+8.5,240,115.8,3900,24,5.0,11.2,15.8,9.8,2.50
Dyson,Daniels,PG,SF,,2024-01-03,,NO,MIN,+6.5,222.5,108,3800,3,3.3,11.5,22.0,9.5,2.50
