Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Amar Johnson (40260055),Amar Johnson,40260055,RB/FLEX,4000,WAS@LAC 10/05/2025 04:25PM ET,LAC,0
QB,Mitchell Trubisky (40259107),Mitchell Trubisky,40259107,QB,4000,NE@BUF 10/05/2025 08:20PM ET,BUF,0.98
QB,Joshua Dobbs (40259114),Joshua Dobbs,40259114,QB,4000,NE@BUF 10/05/2025 08:20PM ET,NE,-0.2
RB,Ty Johnson (40259225),Ty Johnson,40259225,RB/FLEX,4000,NE@BUF 10/05/2025 08:20PM ET,BUF,1.52
QB,Shane Buechele (40259281),Shane Buechele,40259281,QB,4000,NE@BUF 10/05/2025 08:20PM ET,BUF,0
RB,Reggie Gilliam (40259288),Reggie Gilliam,40259288,RB/FLEX,4000,NE@BUF 10/05/2025 08:20PM ET,BUF,0
QB,Tommy DeVito (40259419),Tommy DeVito,40259419,QB,4000,NE@BUF 10/05/2025 08:20PM ET,NE,0
RB,Jack Westover (40259529),Jack Westover,40259529,RB/FLEX,4000,NE@BUF 10/05/2025 08:20PM ET,NE,0
RB,Deneric Prince (40259592),Deneric Prince,40259592,RB/FLEX,4000,NE@BUF 10/05/2025 08:20PM ET,NE,0
RB,Ray Davis (40259671),Ray Davis,40259671,RB/FLEX,4000,NE@BUF 10/05/2025 08:20PM ET,BUF,0.95
RB,Terrell Jennings (40259764),Terrell Jennings,40259764,RB/FLEX,4000,NE@BUF 10/05/2025 08:20PM ET,NE,0
WR,Kayshon Boutte (40259781),Kayshon Boutte,40259781,WR/FLEX,4000,NE@BUF 10/05/2025 08:20PM ET,NE,8.88
RB,Lan Larison (40259843),Lan Larison,40259843,RB/FLEX,4000,NE@BUF 10/05/2025 08:20PM ET,NE,0
RB,Frank Gore Jr. (40259924),Frank Gore Jr.,40259924,RB/FLEX,4000,NE@BUF 10/05/2025 08:20PM ET,BUF,0
RB,Brock Lampe (40260025),Brock Lampe,40260025,RB/FLEX,4000,NE@BUF 10/05/2025 08:20PM ET,NE,0
QB,Nick Mullens (40259127),Nick Mullens,40259127,QB,4000,KC@JAX 10/06/2025 08:15PM ET,JAX,0
QB,Gardner Minshew II (40259218),Gardner Minshew II,40259218,QB,4000,KC@JAX 10/06/2025 08:15PM ET,KC,-0.3
QB,Chris Oladokun (40259340),Chris Oladokun,40259340,QB,4000,KC@JAX 10/06/2025 08:15PM ET,KC,0
RB,Clyde Edwards-Helaire (40259363),Clyde Edwards-Helaire,40259363,RB/FLEX,4000,KC@JAX 10/06/2025 08:15PM ET,KC,0
RB,Elijah Mitchell (40259382),Elijah Mitchell,40259382,RB/FLEX,4000,KC@JAX 10/06/2025 08:15PM ET,KC,0
RB,Keaontay Ingram (40259578),Keaontay Ingram,40259578,RB/FLEX,4000,KC@JAX 10/06/2025 08:15PM ET,KC,0
RB,Cody Schrader (40259623),Cody Schrader,40259623,RB/FLEX,4000,KC@JAX 10/06/2025 08:15PM ET,JAX,0
RB,Ja'Quinden Jackson (40259877),Ja'Quinden Jackson,40259877,RB/FLEX,4000,KC@JAX 10/06/2025 08:15PM ET,JAX,0
QB,Seth Henigan (40260002),Seth Henigan,40260002,QB,4000,KC@JAX 10/06/2025 08:15PM ET,JAX,0
RB,Carson Steele (40260027),Carson Steele,40260027,RB/FLEX,4000,KC@JAX 10/06/2025 08:15PM ET,KC,0
RB,LeQuint Allen Jr. (40260060),LeQuint Allen Jr.,40260060,RB/FLEX,4000,KC@JAX 10/06/2025 08:15PM ET,JAX,1.75
WR,Malik Washington (40259713),Malik Washington,40259713,WR/FLEX,3900,MIA@CAR 10/05/2025 01:00PM ET,MIA,6.18
TE,Juwan Johnson (40259264),Juwan Johnson,40259264,TE/FLEX,3900,NYG@NO 10/05/2025 01:00PM ET,NO,12.1
WR,Sterling Shepard (40259087),Sterling Shepard,40259087,WR/FLEX,3900,TB@SEA 10/05/2025 04:05PM ET,TB,7.58
WR,JuJu Smith-Schuster (40259176),JuJu Smith-Schuster,40259176,WR/FLEX,3900,KC@JAX 10/06/2025 08:15PM ET,KC,8.78
WR,Jayden Higgins (40259937),Jayden Higgins,40259937,WR/FLEX,3800,HOU@BAL 10/05/2025 01:00PM ET,HOU,4.98
WR,Marvin Mims Jr. (40259792),Marvin Mims Jr.,40259792,WR/FLEX,3800,DEN@PHI 10/05/2025 01:00PM ET,DEN,8.88
TE,Zach Ertz (40259043),Zach Ertz,40259043,TE/FLEX,3800,WAS@LAC 10/05/2025 04:25PM ET,WAS,10.72
WR,Joshua Palmer (40259404),Joshua Palmer,40259404,WR/FLEX,3800,NE@BUF 10/05/2025 08:20PM ET,BUF,5.95
WR,Hunter Renfrow (40259199),Hunter Renfrow,40259199,WR/FLEX,3700,MIA@CAR 10/05/2025 01:00PM ET,CAR,8.12
WR,Dont'e Thornton Jr. (40259959),Dont'e Thornton Jr.,40259959,WR/FLEX,3700,LV@IND 10/05/2025 01:00PM ET,LV,3.6
TE,Evan Engram (40259130),Evan Engram,40259130,TE/FLEX,3700,DEN@PHI 10/05/2025 01:00PM ET,DEN,4.73
WR,Luke McCaffrey (40259660),Luke McCaffrey,40259660,WR/FLEX,3700,WAS@LAC 10/05/2025 04:25PM ET,WAS,7.4
TE,Dalton Schultz (40259162),Dalton Schultz,40259162,TE/FLEX,3600,HOU@BAL 10/05/2025 01:00PM ET,HOU,7.15
WR,Adonai Mitchell (40259945),Adonai Mitchell,40259945,WR/FLEX,3600,LV@IND 10/05/2025 01:00PM ET,IND,4.92
WR,Jalen Tolbert (40259440),Jalen Tolbert,40259440,WR/FLEX,3600,DAL@NYJ 10/05/2025 01:00PM ET,DAL,5.52
